#At time x allocated y bytes for process z from i to j
At time 3 allocated 197 bytes for process 1 from 0 to 255
At time 3 freed 197 bytes for process 1 from 0 to 255
At time 6 allocated 31 bytes for process 2 from 0 to 31
At time 13 allocated 52 bytes for process 3 from 64 to 127
At time 14 freed 52 bytes for process 3 from 64 to 127
At time 17 allocated 208 bytes for process 4 from 256 to 511
At time 19 allocated 196 bytes for process 5 from 512 to 767
At time 23 freed 31 bytes for process 2 from 0 to 31
At time 25 freed 196 bytes for process 5 from 512 to 767
At time 51 freed 208 bytes for process 4 from 256 to 511
